--------------------------------------------------
   Top Matching Words    |    Similarity Scores
-------------------------|------------------------
   song                  |    16.169841484047996
   hey                   |    15.932111228597996
   me                    |    15.84596665446
   mommy                 |    15.131090966259997
   kiss                  |    15.128234201278998
   my                    |    14.789473316161002
   album                 |    14.761686491021
   you                   |    14.563907830648
   love                  |    14.301531949105001
   daddy                 |    14.281746573045002
